,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
455,GA,Atlanta Suburbs GA,2021-12-31,0.0,20.0
456,GA,Other GA,2021-01-31,0.0,0.0
457,GA,Other GA,2021-02-28,0.0,0.0
458,GA,Other GA,2021-03-31,34.5,34.5
459,GA,Other GA,2021-04-30,34.5,69.0
460,GA,Other GA,2021-05-31,34.5,103.5
461,GA,Other GA,2021-06-30,34.5,138.0
462,GA,Other GA,2021-07-31,0.0,138.0
463,GA,Other GA,2021-08-31,0.0,138.0
464,GA,Other GA,2021-09-30,0.0,138.0
465,GA,Other GA,2021-10-31,0.0,138.0
466,GA,Other GA,2021-11-30,0.0,138.0
467,GA,Other GA,2021-12-31,0.0,138.0
468,HI,Hawaii,2021-01-31,0.0,0.0
469,HI,Hawaii,2021-02-28,0.0,0.0
470,HI,Hawaii,2021-03-31,0.0,0.0
471,HI,Hawaii,2021-04-30,0.0,0.0
472,HI,Hawaii,2021-05-31,0.0,0.0
473,HI,Hawaii,2021-06-30,0.0,0.0
474,HI,Hawaii,2021-07-31,0.0,0.0
475,HI,Hawaii,2021-08-31,0.0,0.0
476,HI,Hawaii,2021-09-30,0.0,0.0
477,HI,Hawaii,2021-10-31,0.0,0.0
478,HI,Hawaii,2021-11-30,0.0,0.0
479,HI,Hawaii,2021-12-31,0.0,0.0
480,IA,Iowa,2021-01-31,0.0,0.0
481,IA,Iowa,2021-02-28,0.0,0.0
482,IA,Iowa,2021-03-31,0.0,0.0
483,IA,Iowa,2021-04-30,0.0,0.0
